CMDLINE python3 scripts/flask_app.py
MEM 0.375000 1718712561.3735
MEM 19.414062 1718712561.4743
MEM 25.164062 1718712561.5751
MEM 29.039062 1718712561.6759
MEM 32.855469 1718712561.7767
MEM 37.605469 1718712561.8770
MEM 39.355469 1718712561.9778
MEM 40.980469 1718712562.0786
MEM 42.480469 1718712562.1795
MEM 47.855469 1718712562.2805
MEM 53.355469 1718712562.3811
MEM 56.355469 1718712562.4819
MEM 62.605469 1718712562.5828
MEM 73.605469 1718712562.6836
MEM 86.230469 1718712562.7844
MEM 95.230469 1718712562.8873
MEM 101.980469 1718712562.9881
MEM 109.855469 1718712563.0890
MEM 115.230469 1718712563.1898
MEM 134.355469 1718712563.2906
MEM 169.730469 1718712563.3915
MEM 199.855469 1718712563.4932
MEM 210.980469 1718712563.5940
MEM 217.355469 1718712563.6949
MEM 223.605469 1718712563.7958
MEM 228.855469 1718712563.8966
MEM 235.230469 1718712564.0010
MEM 241.730469 1718712564.1018
MEM 245.605469 1718712564.2026
MEM 253.980469 1718712564.3034
MEM 260.980469 1718712564.4043
MEM 270.105469 1718712564.5050
MEM 278.230469 1718712564.6058
MEM 292.605469 1718712564.7066
MEM 299.605469 1718712564.8084
MEM 308.230469 1718712564.9090
MEM 314.855469 1718712565.0098
MEM 319.105469 1718712565.1106
MEM 323.460938 1718712565.2114
MEM 326.085938 1718712565.3122
MEM 327.460938 1718712565.4130
MEM 331.210938 1718712565.5138
MEM 334.210938 1718712565.6146
MEM 337.335938 1718712565.7154
MEM 339.835938 1718712565.8162
MEM 342.085938 1718712565.9170
MEM 347.585938 1718712566.0178
MEM 351.085938 1718712566.1187
MEM 352.960938 1718712566.2194
MEM 354.835938 1718712566.3202
MEM 357.210938 1718712566.4210
MEM 363.085938 1718712566.5219
MEM 371.585938 1718712566.6227
MEM 378.335938 1718712566.7235
MEM 386.335938 1718712566.8242
MEM 393.585938 1718712566.9251
MEM 398.335938 1718712567.0260
MEM 401.960938 1718712567.1268
MEM 407.085938 1718712567.2275
MEM 413.210938 1718712567.3283
MEM 416.210938 1718712567.4290
MEM 418.085938 1718712567.5298
MEM 420.335938 1718712567.6306
MEM 421.460938 1718712567.7314
MEM 424.085938 1718712567.8322
MEM 427.585938 1718712567.9330
MEM 430.460938 1718712568.0338
MEM 430.585938 1718712568.1346
MEM 441.816406 1718712568.2354
MEM 471.578125 1718712568.3363
MEM 472.929688 1718712568.4370
MEM 472.929688 1718712568.5378
MEM 472.929688 1718712568.6386
MEM 472.929688 1718712568.7394
MEM 472.929688 1718712568.8402
MEM 472.929688 1718712568.9410
MEM 472.929688 1718712569.0418
MEM 472.929688 1718712569.1426
MEM 472.929688 1718712569.2434
MEM 472.929688 1718712569.3441
MEM 472.929688 1718712569.4450
MEM 472.929688 1718712569.5457
MEM 472.929688 1718712569.6465
MEM 472.929688 1718712569.7471
MEM 472.929688 1718712569.8479
MEM 472.929688 1718712569.9487
MEM 472.929688 1718712570.0490
MEM 472.929688 1718712570.1498
MEM 472.929688 1718712570.2506
MEM 472.929688 1718712570.3513
MEM 472.929688 1718712570.4521
MEM 472.929688 1718712570.5529
MEM 472.929688 1718712570.6537
MEM 472.929688 1718712570.7545
MEM 472.929688 1718712570.8552
MEM 472.929688 1718712570.9560
MEM 472.929688 1718712571.0569
MEM 472.929688 1718712571.1577
MEM 472.929688 1718712571.2585
MEM 472.929688 1718712571.3592
MEM 472.929688 1718712571.4601
MEM 472.929688 1718712571.5609
MEM 472.929688 1718712571.6617
MEM 472.929688 1718712571.7625
MEM 472.929688 1718712571.8633
MEM 472.929688 1718712571.9637
MEM 472.929688 1718712572.0646
MEM 472.929688 1718712572.1650
MEM 472.929688 1718712572.2658
MEM 472.929688 1718712572.3666
MEM 472.929688 1718712572.4674
MEM 472.929688 1718712572.5682
MEM 472.929688 1718712572.6690
MEM 472.929688 1718712572.7697
MEM 472.929688 1718712572.8705
MEM 472.929688 1718712572.9713
MEM 472.929688 1718712573.0721
MEM 472.929688 1718712573.1729
MEM 472.929688 1718712573.2733
MEM 472.929688 1718712573.3741
MEM 472.929688 1718712573.4749
MEM 472.929688 1718712573.5757
MEM 472.929688 1718712573.6765
MEM 472.929688 1718712573.7770
MEM 472.929688 1718712573.8777
MEM 472.929688 1718712573.9785
MEM 472.929688 1718712574.0793
MEM 472.929688 1718712574.1801
MEM 472.929688 1718712574.2810
MEM 472.929688 1718712574.3819
MEM 472.929688 1718712574.4826
MEM 472.929688 1718712574.5834
MEM 472.929688 1718712574.6842
MEM 472.929688 1718712574.7850
MEM 472.929688 1718712574.8858
MEM 472.929688 1718712574.9866
MEM 472.929688 1718712575.0874
MEM 472.929688 1718712575.1882
MEM 472.929688 1718712575.2891
